u.screen_name,u.retweet_count,u.fav_count,u.followers,u.InfluenceScore,Rank,fav per retweet,retweet per follow,,dissemination rank,rank difference,% wrong,abs val,,avg error
_BurnOneQUE,519,1103,1466,0.721615937,259,2.125240848,0.354024557,2.479265404,334,-75,-0.096277279,0.096277279,,
ThePoppaJ,1050,1865,1517,1.236626449,182,1.776190476,0.69215557,2.468346046,335,-153,-0.196405648,0.196405648,,
BelleAvocat,246,249,169,0.246400854,407,1.012195122,1.455621302,2.467816424,336,71,0.09114249,0.09114249,,
masnOrioles,27,66,94305,9.916095653,33,2.444444444,0.000286305,2.44473075,337,-304,-0.390243902,0.390243902,,
Tha_BoX,972,860,630,0.950142022,220,0.884773663,1.542857143,2.427630805,338,-118,-0.151476252,0.151476252,,
jacobitweet,541,844,627,0.604877174,277,1.560073937,0.862838915,2.422912853,339,-62,-0.079589217,0.079589217,,
1004_366,1036,1177,807,1.068924201,209,1.136100386,1.283767038,2.419867425,340,-131,-0.168164313,0.168164313,,
BrianGefrich,49,115,755,0.137778669,519,2.346938776,0.064900662,2.411839438,341,178,0.228498074,0.228498074,,
dougaus,273,445,351,0.322047115,364,1.63003663,0.777777778,2.407814408,342,22,0.028241335,0.028241335,,
Kenia5sosfam,984,1992,2568,1.293283799,174,2.024390244,0.38317757,2.407567814,343,-169,-0.216944801,0.216944801,,
BiggDreams_717,1116,2086,2104,1.333392509,173,1.869175627,0.530418251,2.399593878,344,-171,-0.219512195,0.219512195,,
crtconsu,1394,1634,1139,1.416617026,163,1.172166428,1.223880597,2.396047025,345,-182,-0.233632863,0.233632863,,
alrightdebora,3644,5119,3695,3.829214732,78,1.404774973,0.986197564,2.390972537,346,-268,-0.344030809,0.344030809,,
lightkatja,861,176,394,0.760229405,251,0.204413473,2.185279188,2.389692661,347,-96,-0.123234917,0.123234917,,
GigiTracyXO,2529,4710,4831,3.097935622,95,1.862396204,0.523494101,2.385890305,348,-253,-0.324775353,0.324775353,,
MDprep,84,142,121,0.098081081,582,1.69047619,0.694214876,2.384691067,349,233,0.299101412,0.299101412,,
N2Positivity,152,249,204,0.177914401,472,1.638157895,0.745098039,2.383255934,350,122,0.15661104,0.15661104,,
victoriaalissia,338,676,890,0.438582621,317,2,0.379775281,2.379775281,351,-34,-0.0436457,0.0436457,,
LindaLouwalters,213,321,245,0.234095301,418,1.507042254,0.869387755,2.376430009,352,66,0.084724005,0.084724005,,
Orinthical,17,40,1227,0.170859088,480,2.352941176,0.013854931,2.366796107,353,127,0.163029525,0.163029525,,
typhoonjim,3,7,133,0.025606245,734,2.333333333,0.022556391,2.355889724,354,380,0.487804878,0.487804878,,
Nicks_Aunt2008,3,7,193,0.03532621,714,2.333333333,0.015544041,2.348877375,355,359,0.46084724,0.46084724,,
ahmadmzaghal,512,958,1122,0.648808526,271,1.87109375,0.456327986,2.327421736,356,-85,-0.109114249,0.109114249,,
Peter4Cruz,1422,1771,1328,1.474165199,160,1.245428973,1.070783133,2.316212106,357,-197,-0.252888318,0.252888318,,
HasanQau,31,64,129,0.050471622,683,2.064516129,0.240310078,2.304826207,358,325,0.41720154,0.41720154,,
L_Wave001,35,80,1842,0.27294802,397,2.285714286,0.019001086,2.304715371,359,38,0.048780488,0.048780488,,
nkirby,1247,856,771,1.178035791,194,0.686447474,1.617380026,2.3038275,360,-166,-0.21309371,0.21309371,,
BLANKENSHIP007,3,6,10,0.004607678,777,2,0.3,2.3,361,416,0.534017972,0.534017972,,
BYCYoga,32,72,692,0.130058203,532,2.25,0.046242775,2.296242775,362,170,0.218228498,0.218228498,,
janstevson1,126,233,299,0.163386722,485,1.849206349,0.421404682,2.270611031,363,122,0.15661104,0.15661104,,
valshantal,19,43,2666,0.297874102,376,2.263157895,0.007126782,2.270284676,364,12,0.015404365,0.015404365,,
_lulbanks,38,81,294,0.075294244,622,2.131578947,0.129251701,2.260830648,365,257,0.329910141,0.329910141,,
vickieleni,35,71,167,0.05569606,674,2.028571429,0.209580838,2.238152267,366,308,0.395378691,0.395378691,,
spdgtkt87,85,175,499,0.146212241,507,2.058823529,0.170340681,2.229164211,367,140,0.179717587,0.179717587,,
EdAsante77,24,53,3854,0.43615287,320,2.208333333,0.006227296,2.21456063,368,-48,-0.061617458,0.061617458,,
rachellnnicole1,38,81,640,0.119414878,550,2.131578947,0.059375,2.190953947,369,181,0.232349166,0.232349166,,
ChillyReefa,1097,1316,1113,1.148881075,200,1.199635369,0.985624438,2.185259808,370,-170,-0.218228498,0.218228498,,
